step,d0_x,d0_y,d0_z,d0_gx,d0_gy,d0_gz,d1_x,d1_y,d1_z,d1_gx,d1_gy,d1_gz,d2_x,d2_y,d2_z,d2_gx,d2_gy,d2_gz,d3_x,d3_y,d3_z,d3_gx,d3_gy,d3_gz,d4_x,d4_y,d4_z,d4_gx,d4_gy,d4_gz,d5_x,d5_y,d5_z,d5_gx,d5_gy,d5_gz,d6_x,d6_y,d6_z,d6_gx,d6_gy,d6_gz,d7_x,d7_y,d7_z,d7_gx,d7_gy,d7_gz
0,0.2214,0.9559,0.5011,0.2188,0.0541,1.0000,-0.9602,-0.7273,0.5013,-0.2812,0.0541,1.0000,-0.1990,0.1217,0.5013,-0.0312,-0.3789,1.0000,-0.9010,0.0433,0.5013,-0.0312,0.4871,1.0000,-0.6737,0.4791,0.5013,0.4688,-0.3789,1.0000,-0.0343,0.1872,0.5006,-0.5312,-0.3789,1.0000,0.4630,0.9108,0.5013,0.7188,0.0541,1.0000,-0.1842,0.7799,0.5011,-0.5312,0.4871,1.0000
1,0.2214,0.9558,0.5046,0.2188,0.0541,1.0000,-0.9602,-0.7273,0.5050,-0.2812,0.0541,1.0000,-0.1991,0.1217,0.5050,-0.0312,-0.3789,1.0000,-0.9009,0.0433,0.5050,-0.0312,0.4871,1.0000,-0.6737,0.4791,0.5050,0.4688,-0.3789,1.0000,-0.0344,0.1871,0.5026,-0.5312,-0.3789,1.0000,0.4630,0.9107,0.5050,0.7188,0.0541,1.0000,-0.1843,0.7798,0.5043,-0.5312,0.4871,1.0000
2,0.2207,0.9551,0.5109,0.2188,0.0541,1.0000,-0.9598,-0.7268,0.5118,-0.2812,0.0541,1.0000,-0.1997,0.1213,0.5118,-0.0312,-0.3789,1.0000,-0.9004,0.0436,0.5118,-0.0312,0.4871,1.0000,-0.6732,0.4790,0.5118,0.4688,-0.3789,1.0000,-0.0349,0.1864,0.5063,-0.5312,-0.3789,1.0000,0.4629,0.9102,0.5118,0.7188,0.0541,1.0000,-0.1850,0.7793,0.5099,-0.5312,0.4871,1.0000
3,0.2195,0.9536,0.5198,0.2188,0.0541,1.0000,-0.9592,-0.7260,0.5220,-0.2812,0.0541,1.0000,-0.2009,0.1206,0.5217,-0.0312,-0.3789,1.0000,-0.8994,0.0442,0.5220,-0.0312,0.4871,1.0000,-0.6720,0.4784,0.5220,0.4688,-0.3789,1.0000,-0.0358,0.1850,0.5113,-0.5312,-0.3789,1.0000,0.4628,0.9089,0.5216,0.7188,0.0541,1.0000,-0.1861,0.7783,0.5170,-0.5312,0.4871,1.0000
4,0.2177,0.9514,0.5302,0.2188,0.0541,1.0000,-0.9583,-0.7248,0.5352,-0.2812,0.0541,1.0000,-0.2024,0.1197,0.5339,-0.0312,-0.3789,1.0000,-0.8981,0.0449,0.5355,-0.0312,0.4871,1.0000,-0.6700,0.4772,0.5356,0.4688,-0.3789,1.0000,-0.0368,0.1830,0.5167,-0.5312,-0.3789,1.0000,0.4628,0.9070,0.5337,0.7188,0.0541,1.0000,-0.1875,0.7772,0.5247,-0.5312,0.4871,1.0000
5,0.2157,0.9487,0.5414,0.2188,0.0541,1.0000,-0.9571,-0.7234,0.5506,-0.2812,0.0541,1.0000,-0.2043,0.1184,0.5473,-0.0312,-0.3789,1.0000,-0.8962,0.0456,0.5516,-0.0312,0.4871,1.0000,-0.6673,0.4754,0.5527,0.4688,-0.3789,1.0000,-0.0382,0.1806,0.5222,-0.5312,-0.3789,1.0000,0.4628,0.9045,0.5471,0.7188,0.0541,1.0000,-0.1893,0.7757,0.5325,-0.5312,0.4871,1.0000
6,0.2132,0.9453,0.5528,0.2188,0.0541,1.0000,-0.9556,-0.7216,0.5672,-0.2812,0.0541,1.0000,-0.2066,0.1168,0.5613,-0.0312,-0.3789,1.0000,-0.8938,0.0466,0.5694,-0.0312,0.4871,1.0000,-0.6639,0.4728,0.5729,0.4688,-0.3789,1.0000,-0.0400,0.1774,0.5278,-0.5312,-0.3789,1.0000,0.4628,0.9013,0.5610,0.7188,0.0541,1.0000,-0.1917,0.7737,0.5403,-0.5312,0.4871,1.0000
7,0.2102,0.9413,0.5639,0.2188,0.0541,1.0000,-0.9536,-0.7195,0.5845,-0.2812,0.0541,1.0000,-0.2092,0.1148,0.5751,-0.0312,-0.3789,1.0000,-0.8907,0.0477,0.5881,-0.0312,0.4871,1.0000,-0.6597,0.4694,0.5951,0.4688,-0.3789,1.0000,-0.0424,0.1737,0.5333,-0.5312,-0.3789,1.0000,0.4626,0.8975,0.5748,0.7188,0.0541,1.0000,-0.1945,0.7715,0.5477,-0.5312,0.4871,1.0000
8,0.2070,0.9368,0.5742,0.2188,0.0541,1.0000,-0.9515,-0.7171,0.6020,-0.2812,0.0541,1.0000,-0.2121,0.1125,0.5880,-0.0312,-0.3789,1.0000,-0.8872,0.0487,0.6073,-0.0312,0.4871,1.0000,-0.6549,0.4651,0.6182,0.4688,-0.3789,1.0000,-0.0451,0.1695,0.5384,-0.5312,-0.3789,1.0000,0.4624,0.8932,0.5878,0.7188,0.0541,1.0000,-0.1975,0.7690,0.5547,-0.5312,0.4871,1.0000
9,0.2036,0.9317,0.5837,0.2188,0.0541,1.0000,-0.9490,-0.7146,0.6193,-0.2812,0.0541,1.0000,-0.2151,0.1100,0.6002,-0.0312,-0.3789,1.0000,-0.8833,0.0498,0.6263,-0.0312,0.4871,1.0000,-0.6494,0.4602,0.6414,0.4688,-0.3789,1.0000,-0.0481,0.1649,0.5429,-0.5312,-0.3789,1.0000,0.4623,0.8884,0.6000,0.7188,0.0541,1.0000,-0.2010,0.7663,0.5613,-0.5312,0.4871,1.0000
