step,d0_x,d0_y,d0_z,d0_gx,d0_gy,d0_gz,d1_x,d1_y,d1_z,d1_gx,d1_gy,d1_gz,d2_x,d2_y,d2_z,d2_gx,d2_gy,d2_gz,d3_x,d3_y,d3_z,d3_gx,d3_gy,d3_gz,d4_x,d4_y,d4_z,d4_gx,d4_gy,d4_gz,d5_x,d5_y,d5_z,d5_gx,d5_gy,d5_gz,d6_x,d6_y,d6_z,d6_gx,d6_gy,d6_gz,d7_x,d7_y,d7_z,d7_gx,d7_gy,d7_gz
10,0.2000,0.9260,0.5927,0.2188,0.0541,1.0000,-0.9462,-0.7118,0.6362,-0.2812,0.0541,1.0000,-0.2183,0.1071,0.6120,-0.0312,-0.3789,1.0000,-0.8788,0.0510,0.6449,-0.0312,0.4871,1.0000,-0.6433,0.4545,0.6642,0.4688,-0.3789,1.0000,-0.0516,0.1597,0.5472,-0.5312,-0.3789,1.0000,0.4621,0.8830,0.6116,0.7188,0.0541,1.0000,-0.2051,0.7631,0.5679,-0.5312,0.4871,1.0000
11,0.1960,0.9198,0.6013,0.2188,0.0541,1.0000,-0.9430,-0.7087,0.6530,-0.2812,0.0541,1.0000,-0.2218,0.1038,0.6234,-0.0312,-0.3789,1.0000,-0.8738,0.0523,0.6631,-0.0312,0.4871,1.0000,-0.6368,0.4483,0.6860,0.4688,-0.3789,1.0000,-0.0557,0.1540,0.5515,-0.5312,-0.3789,1.0000,0.4619,0.8770,0.6226,0.7188,0.0541,1.0000,-0.2096,0.7596,0.5746,-0.5312,0.4871,1.0000
12,0.1918,0.9130,0.6095,0.2188,0.0541,1.0000,-0.9394,-0.7054,0.6700,-0.2812,0.0541,1.0000,-0.2254,0.1002,0.6342,-0.0312,-0.3789,1.0000,-0.8683,0.0535,0.6812,-0.0312,0.4871,1.0000,-0.6298,0.4415,0.7066,0.4688,-0.3789,1.0000,-0.0602,0.1481,0.5557,-0.5312,-0.3789,1.0000,0.4616,0.8706,0.6329,0.7188,0.0541,1.0000,-0.2145,0.7560,0.5808,-0.5312,0.4871,1.0000
13,0.1875,0.9058,0.6173,0.2188,0.0541,1.0000,-0.9355,-0.7019,0.6866,-0.2812,0.0541,1.0000,-0.2290,0.0964,0.6444,-0.0312,-0.3789,1.0000,-0.8623,0.0548,0.6988,-0.0312,0.4871,1.0000,-0.6222,0.4342,0.7260,0.4688,-0.3789,1.0000,-0.0651,0.1417,0.5596,-0.5312,-0.3789,1.0000,0.4615,0.8638,0.6427,0.7188,0.0541,1.0000,-0.2197,0.7521,0.5868,-0.5312,0.4871,1.0000
14,0.1830,0.8980,0.6248,0.2188,0.0541,1.0000,-0.9312,-0.6981,0.7027,-0.2812,0.0541,1.0000,-0.2328,0.0922,0.6544,-0.0312,-0.3789,1.0000,-0.8558,0.0562,0.7157,-0.0312,0.4871,1.0000,-0.6142,0.4263,0.7442,0.4688,-0.3789,1.0000,-0.0706,0.1350,0.5636,-0.5312,-0.3789,1.0000,0.4613,0.8564,0.6521,0.7188,0.0541,1.0000,-0.2254,0.7479,0.5928,-0.5312,0.4871,1.0000
15,0.1784,0.8898,0.6321,0.2188,0.0541,1.0000,-0.9265,-0.6941,0.7186,-0.2812,0.0541,1.0000,-0.2366,0.0877,0.6641,-0.0312,-0.3789,1.0000,-0.8488,0.0577,0.7322,-0.0312,0.4871,1.0000,-0.6058,0.4177,0.7614,0.4688,-0.3789,1.0000,-0.0765,0.1281,0.5678,-0.5312,-0.3789,1.0000,0.4610,0.8485,0.6613,0.7188,0.0541,1.0000,-0.2315,0.7436,0.5987,-0.5312,0.4871,1.0000
16,0.1737,0.8813,0.6392,0.2188,0.0541,1.0000,-0.9214,-0.6899,0.7345,-0.2812,0.0541,1.0000,-0.2403,0.0831,0.6734,-0.0312,-0.3789,1.0000,-0.8413,0.0594,0.7486,-0.0312,0.4871,1.0000,-0.5970,0.4087,0.7774,0.4688,-0.3789,1.0000,-0.0828,0.1210,0.5717,-0.5312,-0.3789,1.0000,0.4609,0.8404,0.6700,0.7188,0.0541,1.0000,-0.2378,0.7392,0.6043,-0.5312,0.4871,1.0000
17,0.1690,0.8724,0.6460,0.2188,0.0541,1.0000,-0.9160,-0.6856,0.7499,-0.2812,0.0541,1.0000,-0.2438,0.0783,0.6823,-0.0312,-0.3789,1.0000,-0.8335,0.0612,0.7649,-0.0312,0.4871,1.0000,-0.5878,0.3991,0.7920,0.4688,-0.3789,1.0000,-0.0893,0.1137,0.5755,-0.5312,-0.3789,1.0000,0.4609,0.8320,0.6783,0.7188,0.0541,1.0000,-0.2444,0.7345,0.6097,-0.5312,0.4871,1.0000
18,0.1643,0.8632,0.6530,0.2188,0.0541,1.0000,-0.9101,-0.6809,0.7648,-0.2812,0.0541,1.0000,-0.2471,0.0733,0.6912,-0.0312,-0.3789,1.0000,-0.8255,0.0634,0.7811,-0.0312,0.4871,1.0000,-0.5782,0.3890,0.8055,0.4688,-0.3789,1.0000,-0.0964,0.1062,0.5793,-0.5312,-0.3789,1.0000,0.4609,0.8232,0.6866,0.7188,0.0541,1.0000,-0.2514,0.7297,0.6151,-0.5312,0.4871,1.0000
19,0.1595,0.8537,0.6599,0.2188,0.0541,1.0000,-0.9039,-0.6760,0.7792,-0.2812,0.0541,1.0000,-0.2500,0.0683,0.7002,-0.0312,-0.3789,1.0000,-0.8174,0.0659,0.7971,-0.0312,0.4871,1.0000,-0.5683,0.3782,0.8180,0.4688,-0.3789,1.0000,-0.1037,0.0987,0.5831,-0.5312,-0.3789,1.0000,0.4609,0.8142,0.6947,0.7188,0.0541,1.0000,-0.2586,0.7250,0.6206,-0.5312,0.4871,1.0000
20,0.1549,0.8440,0.6667,0.2188,0.0541,1.0000,-0.8973,-0.6709,0.7935,-0.2812,0.0541,1.0000,-0.2526,0.0632,0.7092,-0.0312,-0.3789,1.0000,-0.8092,0.0686,0.8131,-0.0312,0.4871,1.0000,-0.5580,0.3669,0.8294,0.4688,-0.3789,1.0000,-0.1111,0.0912,0.5864,-0.5312,-0.3789,1.0000,0.4611,0.8050,0.7026,0.7188,0.0541,1.0000,-0.2659,0.7201,0.6259,-0.5312,0.4871,1.0000
21,0.1504,0.8342,0.6736,0.2188,0.0541,1.0000,-0.8904,-0.6657,0.8073,-0.2812,0.0541,1.0000,-0.2548,0.0580,0.7178,-0.0312,-0.3789,1.0000,-0.8009,0.0718,0.8287,-0.0312,0.4871,1.0000,-0.5475,0.3550,0.8399,0.4688,-0.3789,1.0000,-0.1186,0.0836,0.5895,-0.5312,-0.3789,1.0000,0.4615,0.7958,0.7103,0.7188,0.0541,1.0000,-0.2735,0.7151,0.6312,-0.5312,0.4871,1.0000
22,0.1460,0.8242,0.6806,0.2188,0.0541,1.0000,-0.8831,-0.6602,0.8204,-0.2812,0.0541,1.0000,-0.2565,0.0527,0.7263,-0.0312,-0.3789,1.0000,-0.7928,0.0753,0.8440,-0.0312,0.4871,1.0000,-0.5369,0.3425,0.8497,0.4688,-0.3789,1.0000,-0.1261,0.0761,0.5925,-0.5312,-0.3789,1.0000,0.4619,0.7863,0.7181,0.7188,0.0541,1.0000,-0.2812,0.7102,0.6365,-0.5312,0.4871,1.0000
23,0.1417,0.8142,0.6878,0.2188,0.0541,1.0000,-0.8755,-0.6544,0.8331,-0.2812,0.0541,1.0000,-0.2579,0.0476,0.7349,-0.0312,-0.3789,1.0000,-0.7847,0.0791,0.8589,-0.0312,0.4871,1.0000,-0.5262,0.3296,0.8586,0.4688,-0.3789,1.0000,-0.1336,0.0687,0.5958,-0.5312,-0.3789,1.0000,0.4625,0.7768,0.7259,0.7188,0.0541,1.0000,-0.2890,0.7052,0.6416,-0.5312,0.4871,1.0000
24,0.1377,0.8041,0.6949,0.2188,0.0541,1.0000,-0.8676,-0.6485,0.8456,-0.2812,0.0541,1.0000,-0.2588,0.0424,0.7433,-0.0312,-0.3789,1.0000,-0.7767,0.0833,0.8733,-0.0312,0.4871,1.0000,-0.5154,0.3162,0.8667,0.4688,-0.3789,1.0000,-0.1410,0.0613,0.5992,-0.5312,-0.3789,1.0000,0.4633,0.7674,0.7334,0.7188,0.0541,1.0000,-0.2969,0.7002,0.6466,-0.5312,0.4871,1.0000
25,0.1340,0.7940,0.7020,0.2188,0.0541,1.0000,-0.8595,-0.6424,0.8576,-0.2812,0.0541,1.0000,-0.2594,0.0373,0.7516,-0.0312,-0.3789,1.0000,-0.7687,0.0879,0.8871,-0.0312,0.4871,1.0000,-0.5045,0.3025,0.8740,0.4688,-0.3789,1.0000,-0.1482,0.0540,0.6028,-0.5312,-0.3789,1.0000,0.4643,0.7579,0.7409,0.7188,0.0541,1.0000,-0.3049,0.6952,0.6517,-0.5312,0.4871,1.0000
26,0.1304,0.7839,0.7093,0.2188,0.0541,1.0000,-0.8510,-0.6360,0.8690,-0.2812,0.0541,1.0000,-0.2595,0.0323,0.7596,-0.0312,-0.3789,1.0000,-0.7608,0.0929,0.9006,-0.0312,0.4871,1.0000,-0.4936,0.2885,0.8810,0.4688,-0.3789,1.0000,-0.1553,0.0470,0.6067,-0.5312,-0.3789,1.0000,0.4655,0.7485,0.7486,0.7188,0.0541,1.0000,-0.3129,0.6904,0.6571,-0.5312,0.4871,1.0000
27,0.1272,0.7739,0.7167,0.2188,0.0541,1.0000,-0.8423,-0.6293,0.8801,-0.2812,0.0541,1.0000,-0.2593,0.0274,0.7676,-0.0312,-0.3789,1.0000,-0.7531,0.0982,0.9140,-0.0312,0.4871,1.0000,-0.4827,0.2743,0.8877,0.4688,-0.3789,1.0000,-0.1622,0.0401,0.6107,-0.5312,-0.3789,1.0000,0.4668,0.7392,0.7563,0.7188,0.0541,1.0000,-0.3208,0.6856,0.6623,-0.5312,0.4871,1.0000
28,0.1242,0.7640,0.7242,0.2188,0.0541,1.0000,-0.8333,-0.6225,0.8910,-0.2812,0.0541,1.0000,-0.2586,0.0225,0.7754,-0.0312,-0.3789,1.0000,-0.7455,0.1039,0.9272,-0.0312,0.4871,1.0000,-0.4719,0.2599,0.8942,0.4688,-0.3789,1.0000,-0.1690,0.0333,0.6147,-0.5312,-0.3789,1.0000,0.4684,0.7301,0.7638,0.7188,0.0541,1.0000,-0.3288,0.6808,0.6672,-0.5312,0.4871,1.0000
29,0.1216,0.7541,0.7315,0.2188,0.0541,1.0000,-0.8242,-0.6154,0.9018,-0.2812,0.0541,1.0000,-0.2576,0.0178,0.7829,-0.0312,-0.3789,1.0000,-0.7380,0.1099,0.9400,-0.0312,0.4871,1.0000,-0.4609,0.2455,0.9005,0.4688,-0.3789,1.0000,-0.1755,0.0266,0.6187,-0.5312,-0.3789,1.0000,0.4702,0.7209,0.7711,0.7188,0.0541,1.0000,-0.3367,0.6761,0.6721,-0.5312,0.4871,1.0000
30,0.1193,0.7443,0.7389,0.2188,0.0541,1.0000,-0.8151,-0.6079,0.9124,-0.2812,0.0541,1.0000,-0.2561,0.0133,0.7903,-0.0312,-0.3789,1.0000,-0.7308,0.1163,0.9526,-0.0312,0.4871,1.0000,-0.4498,0.2309,0.9068,0.4688,-0.3789,1.0000,-0.1817,0.0202,0.6227,-0.5312,-0.3789,1.0000,0.4722,0.7119,0.7784,0.7188,0.0541,1.0000,-0.3445,0.6714,0.6769,-0.5312,0.4871,1.0000
31,0.1173,0.7348,0.7464,0.2188,0.0541,1.0000,-0.8060,-0.6001,0.9234,-0.2812,0.0541,1.0000,-0.2543,0.0088,0.7975,-0.0312,-0.3789,1.0000,-0.7237,0.1228,0.9649,-0.0312,0.4871,1.0000,-0.4385,0.2162,0.9129,0.4688,-0.3789,1.0000,-0.1878,0.0139,0.6265,-0.5312,-0.3789,1.0000,0.4744,0.7031,0.7858,0.7188,0.0541,1.0000,-0.3521,0.6667,0.6816,-0.5312,0.4871,1.0000
32,0.1157,0.7253,0.7540,0.2188,0.0541,1.0000,-0.7970,-0.5919,0.9348,-0.2812,0.0541,1.0000,-0.2521,0.0044,0.8046,-0.0312,-0.3789,1.0000,-0.7167,0.1296,0.9766,-0.0312,0.4871,1.0000,-0.4271,0.2016,0.9191,0.4688,-0.3789,1.0000,-0.1936,0.0077,0.6302,-0.5312,-0.3789,1.0000,0.4768,0.6945,0.7932,0.7188,0.0541,1.0000,-0.3597,0.6621,0.6862,-0.5312,0.4871,1.0000
33,0.1144,0.7160,0.7615,0.2188,0.0541,1.0000,-0.7883,-0.5833,0.9463,-0.2812,0.0541,1.0000,-0.2496,0.0003,0.8115,-0.0312,-0.3789,1.0000,-0.7099,0.1366,0.9877,-0.0312,0.4871,1.0000,-0.4156,0.1870,0.9254,0.4688,-0.3789,1.0000,-0.1990,0.0016,0.6339,-0.5312,-0.3789,1.0000,0.4795,0.6860,0.8003,0.7188,0.0541,1.0000,-0.3670,0.6576,0.6910,-0.5312,0.4871,1.0000
34,0.1134,0.7068,0.7689,0.2188,0.0541,1.0000,-0.7798,-0.5743,0.9576,-0.2812,0.0541,1.0000,-0.2467,-0.0037,0.8181,-0.0312,-0.3789,1.0000,-0.7031,0.1437,0.9981,-0.0312,0.4871,1.0000,-0.4040,0.1725,0.9320,0.4688,-0.3789,1.0000,-0.2043,-0.0043,0.6377,-0.5312,-0.3789,1.0000,0.4824,0.6776,0.8074,0.7188,0.0541,1.0000,-0.3741,0.6529,0.6955,-0.5312,0.4871,1.0000
35,0.1128,0.6978,0.7764,0.2188,0.0541,1.0000,-0.7716,-0.5650,0.9688,-0.2812,0.0541,1.0000,-0.2435,-0.0076,0.8245,-0.0312,-0.3789,1.0000,-0.6963,0.1509,1.0082,-0.0312,0.4871,1.0000,-0.3923,0.1582,0.9389,0.4688,-0.3789,1.0000,-0.2093,-0.0101,0.6416,-0.5312,-0.3789,1.0000,0.4855,0.6695,0.8145,0.7188,0.0541,1.0000,-0.3811,0.6483,0.6998,-0.5312,0.4871,1.0000
36,0.1126,0.6890,0.7839,0.2188,0.0541,1.0000,-0.7638,-0.5554,0.9800,-0.2812,0.0541,1.0000,-0.2399,-0.0113,0.8307,-0.0312,-0.3789,1.0000,-0.6895,0.1584,1.0180,-0.0312,0.4871,1.0000,-0.3805,0.1441,0.9462,0.4688,-0.3789,1.0000,-0.2141,-0.0158,0.6454,-0.5312,-0.3789,1.0000,0.4888,0.6616,0.8216,0.7188,0.0541,1.0000,-0.3878,0.6438,0.7042,-0.5312,0.4871,1.0000
37,0.1126,0.6803,0.7911,0.2188,0.0541,1.0000,-0.7563,-0.5455,0.9909,-0.2812,0.0541,1.0000,-0.2361,-0.0149,0.8366,-0.0312,-0.3789,1.0000,-0.6828,0.1661,1.0275,-0.0312,0.4871,1.0000,-0.3687,0.1303,0.9537,0.4688,-0.3789,1.0000,-0.2186,-0.0213,0.6493,-0.5312,-0.3789,1.0000,0.4923,0.6537,0.8284,0.7188,0.0541,1.0000,-0.3943,0.6392,0.7084,-0.5312,0.4871,1.0000
38,0.1130,0.6717,0.7983,0.2188,0.0541,1.0000,-0.7493,-0.5352,1.0015,-0.2812,0.0541,1.0000,-0.2319,-0.0185,0.8424,-0.0312,-0.3789,1.0000,-0.6760,0.1738,1.0366,-0.0312,0.4871,1.0000,-0.3568,0.1168,0.9614,0.4688,-0.3789,1.0000,-0.2230,-0.0268,0.6533,-0.5312,-0.3789,1.0000,0.4959,0.6460,0.8351,0.7188,0.0541,1.0000,-0.4005,0.6346,0.7125,-0.5312,0.4871,1.0000
39,0.1136,0.6634,0.8056,0.2188,0.0541,1.0000,-0.7425,-0.5248,1.0119,-0.2812,0.0541,1.0000,-0.2275,-0.0218,0.8480,-0.0312,-0.3789,1.0000,-0.6691,0.1816,1.0454,-0.0312,0.4871,1.0000,-0.3448,0.1036,0.9692,0.4688,-0.3789,1.0000,-0.2272,-0.0321,0.6574,-0.5312,-0.3789,1.0000,0.4997,0.6386,0.8419,0.7188,0.0541,1.0000,-0.4065,0.6301,0.7167,-0.5312,0.4871,1.0000
40,0.1146,0.6552,0.8127,0.2188,0.0541,1.0000,-0.7362,-0.5142,1.0220,-0.2812,0.0541,1.0000,-0.2227,-0.0250,0.8532,-0.0312,-0.3789,1.0000,-0.6623,0.1896,1.0538,-0.0312,0.4871,1.0000,-0.3327,0.0908,0.9769,0.4688,-0.3789,1.0000,-0.2311,-0.0373,0.6617,-0.5312,-0.3789,1.0000,0.5038,0.6313,0.8485,0.7188,0.0541,1.0000,-0.4121,0.6255,0.7208,-0.5312,0.4871,1.0000
41,0.1159,0.6471,0.8195,0.2188,0.0541,1.0000,-0.7302,-0.5033,1.0318,-0.2812,0.0541,1.0000,-0.2177,-0.0282,0.8582,-0.0312,-0.3789,1.0000,-0.6554,0.1976,1.0619,-0.0312,0.4871,1.0000,-0.3205,0.0785,0.9846,0.4688,-0.3789,1.0000,-0.2350,-0.0424,0.6664,-0.5312,-0.3789,1.0000,0.5080,0.6241,0.8549,0.7188,0.0541,1.0000,-0.4175,0.6208,0.7247,-0.5312,0.4871,1.0000
42,0.1174,0.6392,0.8264,0.2188,0.0541,1.0000,-0.7245,-0.4924,1.0411,-0.2812,0.0541,1.0000,-0.2124,-0.0313,0.8632,-0.0312,-0.3789,1.0000,-0.6484,0.2057,1.0699,-0.0312,0.4871,1.0000,-0.3082,0.0665,0.9921,0.4688,-0.3789,1.0000,-0.2389,-0.0472,0.6712,-0.5312,-0.3789,1.0000,0.5122,0.6170,0.8612,0.7188,0.0541,1.0000,-0.4227,0.6162,0.7286,-0.5312,0.4871,1.0000
43,0.1192,0.6315,0.8334,0.2188,0.0541,1.0000,-0.7192,-0.4813,1.0502,-0.2812,0.0541,1.0000,-0.2069,-0.0342,0.8679,-0.0312,-0.3789,1.0000,-0.6414,0.2138,1.0776,-0.0312,0.4871,1.0000,-0.2957,0.0550,0.9994,0.4688,-0.3789,1.0000,-0.2425,-0.0520,0.6760,-0.5312,-0.3789,1.0000,0.5167,0.6102,0.8676,0.7188,0.0541,1.0000,-0.4276,0.6116,0.7325,-0.5312,0.4871,1.0000
44,0.1212,0.6239,0.8401,0.2188,0.0541,1.0000,-0.7142,-0.4701,1.0588,-0.2812,0.0541,1.0000,-0.2011,-0.0371,0.8723,-0.0312,-0.3789,1.0000,-0.6343,0.2221,1.0849,-0.0312,0.4871,1.0000,-0.2831,0.0441,1.0066,0.4688,-0.3789,1.0000,-0.2461,-0.0566,0.6809,-0.5312,-0.3789,1.0000,0.5212,0.6034,0.8738,0.7188,0.0541,1.0000,-0.4322,0.6069,0.7363,-0.5312,0.4871,1.0000
45,0.1235,0.6163,0.8464,0.2188,0.0541,1.0000,-0.7095,-0.4588,1.0672,-0.2812,0.0541,1.0000,-0.1952,-0.0400,0.8765,-0.0312,-0.3789,1.0000,-0.6272,0.2302,1.0922,-0.0312,0.4871,1.0000,-0.2702,0.0337,1.0138,0.4688,-0.3789,1.0000,-0.2498,-0.0611,0.6860,-0.5312,-0.3789,1.0000,0.5259,0.5967,0.8796,0.7188,0.0541,1.0000,-0.4366,0.6022,0.7401,-0.5312,0.4871,1.0000
46,0.1259,0.6089,0.8529,0.2188,0.0541,1.0000,-0.7050,-0.4476,1.0753,-0.2812,0.0541,1.0000,-0.1891,-0.0428,0.8805,-0.0312,-0.3789,1.0000,-0.6200,0.2384,1.0992,-0.0312,0.4871,1.0000,-0.2573,0.0239,1.0213,0.4688,-0.3789,1.0000,-0.2534,-0.0653,0.6913,-0.5312,-0.3789,1.0000,0.5306,0.5902,0.8855,0.7188,0.0541,1.0000,-0.4407,0.5975,0.7439,-0.5312,0.4871,1.0000
47,0.1285,0.6017,0.8593,0.2188,0.0541,1.0000,-0.7006,-0.4363,1.0827,-0.2812,0.0541,1.0000,-0.1828,-0.0456,0.8843,-0.0312,-0.3789,1.0000,-0.6128,0.2467,1.1058,-0.0312,0.4871,1.0000,-0.2443,0.0149,1.0290,0.4688,-0.3789,1.0000,-0.2570,-0.0695,0.6963,-0.5312,-0.3789,1.0000,0.5353,0.5839,0.8914,0.7188,0.0541,1.0000,-0.4446,0.5927,0.7475,-0.5312,0.4871,1.0000
48,0.1312,0.5946,0.8654,0.2188,0.0541,1.0000,-0.6964,-0.4250,1.0895,-0.2812,0.0541,1.0000,-0.1764,-0.0484,0.8879,-0.0312,-0.3789,1.0000,-0.6055,0.2550,1.1121,-0.0312,0.4871,1.0000,-0.2313,0.0067,1.0369,0.4688,-0.3789,1.0000,-0.2608,-0.0736,0.7011,-0.5312,-0.3789,1.0000,0.5402,0.5775,0.8970,0.7188,0.0541,1.0000,-0.4483,0.5880,0.7510,-0.5312,0.4871,1.0000
49,0.1342,0.5874,0.8712,0.2188,0.0541,1.0000,-0.6922,-0.4138,1.0961,-0.2812,0.0541,1.0000,-0.1699,-0.0511,0.8915,-0.0312,-0.3789,1.0000,-0.5981,0.2633,1.1182,-0.0312,0.4871,1.0000,-0.2182,-0.0008,1.0449,0.4688,-0.3789,1.0000,-0.2646,-0.0775,0.7058,-0.5312,-0.3789,1.0000,0.5451,0.5712,0.9022,0.7188,0.0541,1.0000,-0.4517,0.5834,0.7548,-0.5312,0.4871,1.0000
50,0.1372,0.5805,0.8770,0.2188,0.0541,1.0000,-0.6880,-0.4028,1.1025,-0.2812,0.0541,1.0000,-0.1633,-0.0539,0.8948,-0.0312,-0.3789,1.0000,-0.5907,0.2715,1.1239,-0.0312,0.4871,1.0000,-0.2051,-0.0077,1.0528,0.4688,-0.3789,1.0000,-0.2683,-0.0814,0.7104,-0.5312,-0.3789,1.0000,0.5500,0.5652,0.9075,0.7188,0.0541,1.0000,-0.4549,0.5787,0.7584,-0.5312,0.4871,1.0000
51,0.1402,0.5736,0.8828,0.2188,0.0541,1.0000,-0.6837,-0.3918,1.1083,-0.2812,0.0541,1.0000,-0.1567,-0.0567,0.8981,-0.0312,-0.3789,1.0000,-0.5832,0.2798,1.1291,-0.0312,0.4871,1.0000,-0.1921,-0.0138,1.0605,0.4688,-0.3789,1.0000,-0.2723,-0.0853,0.7150,-0.5312,-0.3789,1.0000,0.5549,0.5592,0.9129,0.7188,0.0541,1.0000,-0.4579,0.5741,0.7620,-0.5312,0.4871,1.0000
